Site,FishEc,SL,Parasites,Remarks_lab,Remarks_field,Type
AK10,190051,44,0,,,Fish
AK10,190052,42,0,,,Fish
AK10,190053,39,0,,,Fish
AK10,190054,36,0,,,Fish
AK10,190055,46,0,,,Fish
AK10,190056,44,0,,,Fish
AK10,190057,44,1,,,Fish
AK10,190058,40,0,,,Fish
AK10,190059,48,0,,,Fish
AK10,190060,46,0,,,Fish
AK10,190061,38,0,,,Fish
AK10,190062,50,0,,,Fish
AK10,190063,51,0,,,Fish
AK10,190064,41,0,,,Fish
AK10,190065,46,0,,,Fish
AK10,190066,40,0,,,Fish
AK10,190067,42,0,,,Fish
AK10,190068,48,0,,,Fish
AK10,190069,43,0,,,Fish
AK10,190070,44,0,,,Fish
AK10,190071,42,0,,,Fish
AK10,190072,51,0,,,Fish
AK10,190073,36,0,,,Fish
AK10,190074,34,1,,,Fish
AK10,190075,53,0,,,Fish
AK10,190076,39,0,,,Fish
AK10,190077,42,0,,,Fish
AK10,190078,39,1,,,Fish
AK10,190079,38,0,,,Fish
AK10,190080,43,0,,,Fish
AK10,190081,40,1,,,Fish
AK10,190082,50,0,,,Fish
AK10,190083,45,0,,,Fish
AK10,190084,46,1,,,Fish
AK10,190085,36,0,,,Fish
AK10,190086,38,0,,,Fish
AK10,190087,41,0,,,Fish
AK10,190088,37,0,,,Fish
AK10,190089,42,0,,,Fish
AK10,190090,49,0,,,Fish
AK10,190091,44,0,,,Fish
AK10,190092,34,0,,,Fish
AK10,190093,40,0,,,Fish
AK10,190094,67,1,,,Fish
AK10,190095,45,0,,,Fish
AK10,190096,45,0,,,Fish
AK10,190097,38,1,,,Fish
AK10,190098,44,0,,,Fish
AK10,190099,41,0,,,Fish
AK10,190100,39,0,,,Fish
AK11,190551,37,0,,,Fish
AK11,190552,34,0,,,Fish
AK11,190553,40,0,,,Fish
AK11,190554,45,0,,,Fish
AK11,190555,38,1,,,Fish
AK11,190556,40,0,,,Fish
AK11,190557,37,0,,,Fish
AK11,190558,41,1,,,Fish
AK11,190559,36,0,,,Fish
AK11,190560,46,0,,,Fish
AK11,190561,42,0,,,Fish
AK11,190562,41,0,,,Fish
AK11,190563,40,0,,,Fish
AK11,190564,39,0,,,Fish
AK11,190565,42,0,,,Fish
AK11,190566,41,0,,,Fish
AK11,190567,38,0,,,Fish
AK11,190568,36,0,,,Fish
AK11,190569,44,0,,,Fish
AK11,190570,46,0,,,Fish
AK11,190571,42,0,,,Fish
AK11,190572,41,0,,,Fish
AK11,190573,42,0,,,Fish
AK11,190574,41,0,,,Fish
AK11,190575,42,0,,,Fish
AK11,190576,39,0,,,Fish
AK11,190577,43,0,,,Fish
AK11,190578,41,0,,,Fish
AK11,190579,40,0,,,Fish
AK11,190580,42,0,,,Fish
AK11,190581,44,0,,,Fish
AK11,190582,39,0,,,Fish
AK11,190583,46,0,,,Fish
AK11,190584,37,0,,,Fish
AK11,190585,39,0,,,Fish
AK11,190586,38,0,,,Fish
AK11,190587,38,0,,,Fish
AK11,190588,40,0,,,Fish
AK11,190589,40,0,,,Fish
AK11,190590,40,0,,,Fish
AK11,190591,37,0,,,Fish
AK11,190592,37,0,,,Fish
AK11,190593,41,0,,,Fish
AK11,190594,39,0,,,Fish
AK11,190595,40,0,,,Fish
AK11,190596,40,0,,,Fish
AK11,190597,42,0,,,Fish
AK11,190598,39,0,,,Fish
AK11,190599,34,0,,,Fish
