FishEc,Lake,File,V2,1_x,2_x,3_x,4_x,5_x,1_y,2_y,3_y,4_y,5_y
185394,Ak_008,Ak_008_dorsal_185394.JPG,74,5234,5129,4269,4120,4089,2002,2006,1998,1802,2190
185395,Ak_008,Ak_008_dorsal_185395.JPG,74,4976,4875,3921,3755,3728,1654,1642,1579,1373,1820
185396,Ak_008,Ak_008_dorsal_185396.JPG,74,4811,4749,4116,3993,3975,1832,1834,1807,1669,1911
185397,Ak_008,Ak_008_dorsal_185397.JPG,74.5,4499,4457,3862,3747,3753,1891,1891,1896,1765,2013
185398,Ak_008,Ak_008_dorsal_185398.JPG,74.3,4451,4367,3523,3339,3342,2041,2041,2091,1882,2262
185399,Ak_008,Ak_008_dorsal_185399.JPG,75.1,4703,4637,4050,3918,3861,1947,1929,1809,1648,1911
185400,Ak_008,Ak_008_dorsal_185400.JPG,74.4,5608,5541,4568,4378,4390,1636,1636,1645,1396,1847
185401,Ak_008,Ak_008_dorsal_185401.JPG,74.2,4284,4241,3702,3629,3646,1901,1900,1985,1900,2105
185402,Ak_008,Ak_008_dorsal_185402.JPG,74.7,5796,5709,4717,4520,4484,1939,1924,1857,1619,2061
185403,Ak_008,Ak_008_dorsal_185403.JPG,74.3,5628,5568,4925,4827,4812,1734,1741,1668,1557,1807
185404,Ak_008,Ak_008_dorsal_185404.JPG,74.2,5411,5316,4513,4384,4383,1943,1939,1947,1823,2131
185405,Ak_008,Ak_008_dorsal_185405.JPG,75,5029,4984,4451,4369,4324,1630,1626,1531,1399,1602
185406,Ak_008,Ak_008_dorsal_185406.JPG,74.8,5387,5345,4943,4833,4840,2102,2101,2095,2037,2207
185407,Ak_008,Ak_008_dorsal_185407.JPG,74.3,4858,4804,4149,4002,4005,1820,1817,1837,1707,1957
185408,Ak_008,Ak_008_dorsal_185408.JPG,74.5,4540,4450,3401,3235,3237,2107,2107,2157,1902,2381
185409,Ak_008,Ak_008_dorsal_185409.JPG,74.7,4272,4224,3767,3674,3683,1584,1584,1588,1541,1729
185410,Ak_008,Ak_008_dorsal_185410.JPG,74.2,5731,5655,4901,4756,4773,1705,1705,1705,1579,1894
185411,Ak_008,Ak_008_dorsal_185411.JPG,75,4178,4136,3537,3447,3462,1721,1717,1702,1611,1847
185412,Ak_008,Ak_008_dorsal_185412.JPG,74.9,5085,5040,4491,4417,4428,1940,1940,1955,1855,2037
185413,Ak_008,Ak_008_dorsal_185413.JPG,74.3,4879,4811,3946,3820,3805,2008,2023,2012,1827,2143
185414,Ak_008,Ak_008_dorsal_185414.JPG,75,4471,4414,3889,3742,3799,1870,1875,1972,1897,2141
185415,Ak_008,Ak_008_dorsal_185415.JPG,75.1,4881,4820,4258,4124,4127,1955,1953,2007,1896,2151
185416,Ak_008,Ak_008_dorsal_185416.JPG,74.1,5237,5165,4488,4343,4340,1935,1925,1871,1775,2032
185417,Ak_008,Ak_008_dorsal_185417.JPG,74.1,5021,4942,4203,4040,4041,1821,1818,1817,1619,1936
185418,Ak_008,Ak_008_dorsal_185418.JPG,75.3,3720,3620,2855,2684,2730,2046,2055,2121,1998,2318
185420,Ak_008,Ak_008_dorsal_185420.JPG,75,4589,4519,3881,3763,3793,1888,1895,1951,1850,2098
185421,Ak_008,Ak_008_dorsal_185421.JPG,74.6,5240,5173,4621,4503,4528,1606,1610,1692,1616,1841
185422,Ak_008,Ak_008_dorsal_185422.JPG,74.2,4782,4702,3997,3816,3840,1906,1909,1960,1814,2127
185423,Ak_008,Ak_008_dorsal_185423.JPG,74.7,5023,4951,4287,4170,4136,1535,1525,1432,1278,1540
185424,Ak_008,Ak_008_dorsal_185424.JPG,75.1,4403,4301,3325,3236,3196,2090,2088,2021,1870,2276
185425,Ak_008,Ak_008_dorsal_185425.JPG,74,5023,4961,4310,4170,4166,1718,1709,1753,1652,1919
185426,Ak_008,Ak_008_dorsal_185426.JPG,74.3,4676,4587,3550,3308,3303,2017,2014,1978,1695,2189
185427,Ak_008,Ak_008_dorsal_185427.JPG,74.9,5004,4953,4249,4130,4088,2047,2041,1902,1729,2026
185428,Ak_008,Ak_008_dorsal_185428.JPG,74.7,4529,4482,4004,3937,3909,1953,1949,1822,1728,1929
185429,Ak_008,Ak_008_dorsal_185429.JPG,74,5817,5708,4775,4585,4535,2061,2059,2009,1779,2227
185430,Ak_008,Ak_008_dorsal_185430.JPG,74.9,5258,5203,4810,4720,4689,1924,1900,1805,1742,1912
185431,Ak_008,Ak_008_dorsal_185431.JPG,74.6,4804,4728,4124,3986,3984,2009,2013,2019,1853,2105
185432,Ak_008,Ak_008_dorsal_185432.JPG,74.1,5433,5344,4323,4144,4112,1325,1318,1263,1045,1519
185433,Ak_008,Ak_008_dorsal_185433.JPG,73.9,5072,5027,4547,4433,4455,1736,1736,1782,1719,1900
185434,Ak_008,Ak_008_dorsal_185434.JPG,74.7,5400,5326,4692,4542,4497,1629,1614,1531,1331,1634
185435,Ak_008,Ak_008_dorsal_185435.JPG,74.7,5466,5418,4854,4761,4791,1917,1918,1957,1875,2102
185436,Ak_008,Ak_008_dorsal_185436.JPG,75.2,5489,5425,4860,4713,4754,1894,1897,1971,1894,2146
185437,Ak_008,Ak_008_dorsal_185437.JPG,75.7,5433,5357,4704,4607,4596,1907,1896,1891,1786,2045
185438,Ak_008,Ak_008_dorsal_185438.JPG,74.3,4517,4464,3759,3695,3685,1916,1911,1909,1786,2036
185439,Ak_008,Ak_008_dorsal_185439.JPG,74.8,5175,5117,4561,4446,4399,1621,1614,1536,1361,1624
185440,Ak_008,Ak_008_dorsal_185440.JPG,74.8,5599,5535,4947,4767,4815,1904,1901,1997,1889,2148
185441,Ak_008,Ak_008_dorsal_185441.JPG,74.3,4848,4759,3972,3824,3845,1759,1755,1781,1595,1916
185442,Ak_008,Ak_008_dorsal_185442.JPG,75.1,4257,4199,3605,3468,3450,1709,1701,1712,1634,1879
185443,Ak_008,Ak_008_dorsal_185443.JPG,74.7,5372,5320,4867,4770,4766,1910,1908,1874,1789,2004
185244,Al_004,Al_004_dorsal_185244.JPG,74,4907,4833,4004,3824,3804,1233,1228,1202,1044,1392
185245,Al_004,Al_004_dorsal_185245.JPG,74.2,5664,5543,4629,4444,4423,1986,1971,1849,1643,2032
185247,Al_004,Al_004_dorsal_185247.JPG,74.1,5441,5354,4581,4418,4400,1645,1645,1606,1452,1806
185249,Al_004,Al_004_dorsal_185249.JPG,74.1,5497,5388,4455,4216,4227,1657,1649,1620,1449,1871
185250,Al_004,Al_004_dorsal_185250.JPG,74.1,5653,5571,4632,4453,4421,2042,2038,1909,1711,2104
185251,Al_004,Al_004_dorsal_185251.JPG,74.2,5796,5691,4823,4590,4617,2048,2043,2126,1963,2340
185252,Al_004,Al_004_dorsal_185252.JPG,74.1,5512,5415,4578,4397,4386,1675,1674,1676,1492,1861
185253,Al_004,Al_004_dorsal_185253.JPG,74.1,5553,5442,4648,4449,4468,1678,1684,1717,1551,1915
185254,Al_004,Al_004_dorsal_185254.JPG,74.1,5538,5423,4610,4446,4435,1705,1699,1689,1497,1817
185255,Al_004,Al_004_dorsal_185255.JPG,74.1,5197,5133,4491,4363,4383,1672,1668,1679,1582,1837
185256,Al_004,Al_004_dorsal_185256.JPG,74.1,5642,5547,4667,4474,4450,1989,1985,1925,1718,2113
185257,Al_004,Al_004_dorsal_185257.JPG,74.1,5838,5731,4843,4674,4654,2074,2056,1935,1747,2113
185258,Al_004,Al_004_dorsal_185258.JPG,74.1,5311,5245,4491,4380,4332,1976,1961,1873,1727,2036
185259,Al_004,Al_004_dorsal_185259.JPG,74,4776,4737,4219,4110,4111,1707,1707,1704,1593,1794
185260,Al_004,Al_004_dorsal_185260.JPG,74.1,4647,4584,3960,3879,3843,1945,1940,1878,1754,1995
185261,Al_004,Al_004_dorsal_185261.JPG,74.2,5500,5426,4713,4564,4552,2070,2068,2016,1825,2099
185262,Al_004,Al_004_dorsal_185262.JPG,74.1,5411,5331,4590,4431,4440,2046,2045,2049,1897,2215
185263,Al_004,Al_004_dorsal_185263.JPG,74,4841,4782,3950,3759,3727,1437,1431,1326,1113,1468
185264,Al_004,Al_004_dorsal_185264.JPG,74.1,5493,5390,4616,4469,4435,1776,1777,1723,1546,1880
185265,Al_004,Al_004_dorsal_185265.JPG,74.1,5286,5212,4509,4372,4358,1920,1919,1872,1747,1993
185266,Al_004,Al_004_dorsal_185266.JPG,74,4672,4619,4011,3878,3878,1440,1437,1451,1327,1585
185267,Al_004,Al_004_dorsal_185267.JPG,74.4,4882,4779,4014,3813,3825,1465,1468,1486,1333,1649
185268,Al_004,Al_004_dorsal_185268.JPG,74.1,5936,5839,5180,5033,4989,2071,2053,1954,1832,2088
185269,Al_004,Al_004_dorsal_185269.JPG,74.1,4801,4742,4222,4143,4138,1768,1756,1756,1665,1875
185270,Al_004,Al_004_dorsal_185270.JPG,74.1,5220,5157,4403,4241,4227,1669,1665,1611,1490,1794
185271,Al_004,Al_004_dorsal_185271.JPG,74.2,5346,5259,4461,4266,4239,1681,1674,1597,1409,1760
185272,Al_004,Al_004_dorsal_185272.JPG,74.1,5118,5070,4530,4393,4398,1670,1664,1661,1571,1780
185273,Al_004,Al_004_dorsal_185273.JPG,74,5400,5306,4541,4407,4373,1930,1921,1854,1682,1997
185274,Al_004,Al_004_dorsal_185274.JPG,74.1,4481,4427,3581,3376,3367,1005,1001,991,837,1177
185275,Al_004,Al_004_dorsal_185275.JPG,74.1,4749,4662,3919,3749,3741,1249,1249,1226,1082,1396
185276,Al_004,Al_004_dorsal_185276.JPG,74.1,5158,5096,4400,4305,4308,1664,1663,1658,1533,1812
185277,Al_004,Al_004_dorsal_185277.JPG,74.1,4453,4367,3623,3439,3430,999,995,963,788,1155
185278,Al_004,Al_004_dorsal_185278.JPG,74.1,5440,5348,4549,4372,4354,1667,1666,1609,1441,1799
185279,Al_004,Al_004_dorsal_185279.JPG,74.2,4973,4876,4075,3894,3852,1428,1421,1297,1134,1485
185280,Al_004,Al_004_dorsal_185280.JPG,74,4483,4407,3703,3570,3559,1009,998,991,852,1139
185281,Al_004,Al_004_dorsal_185281.JPG,74.2,5640,5551,4773,4648,4596,2037,2023,1910,1736,2064
185282,Al_004,Al_004_dorsal_185282.JPG,74,5088,4993,4160,3946,3931,1452,1447,1429,1245,1610
185283,Al_004,Al_004_dorsal_185283.JPG,74,5345,5254,4604,4459,4418,1862,1861,1777,1634,1904
185284,Al_004,Al_004_dorsal_185284.JPG,74,5264,5191,4506,4388,4347,1877,1867,1809,1655,1919
185285,Al_004,Al_004_dorsal_185285.JPG,74.1,5168,5075,4321,4128,4115,1665,1664,1623,1459,1826
185286,Al_004,Al_004_dorsal_185286.JPG,74.1,5604,5528,4710,4577,4545,2057,2060,1968,1806,2127
185287,Al_004,Al_004_dorsal_185287.JPG,74,4873,4772,3993,3850,3787,1445,1439,1279,1098,1441
185288,Al_004,Al_004_dorsal_185288.JPG,74,5770,5642,4775,4621,4624,1643,1645,1658,1474,1828
185289,Al_004,Al_004_dorsal_185289.JPG,74.1,4816,4736,4015,3869,3835,1252,1241,1154,999,1303
185290,Al_004,Al_004_dorsal_185290.JPG,74.1,5693,5633,4986,4882,4870,2048,2046,2012,1879,2138
